 	0x09	# <doublebytes>
 	0x10	# <doublebytes>
 	0x11	# <doublebytes>
 	0x12	# <doublebytes>
 	0x13	# <doublebytes>
🍖	0x09b1	U+1F356	# MEAT ON BONE
🍗	0x09b2	U+1F357	# POULTRY LEG
🍘	0x09b3	U+1F358	# RICE CRACKER
🍙	0x09b4	U+1F359	# RICE BALL
🍚	0x09b5	U+1F35A	# COOKED RICE
🍛	0x09b6	U+1F35B	# CURRY AND RICE
🍜	0x09b7	U+1F35C	# STEAMING BOWL
🍝	0x09b8	U+1F35D	# SPAGHETTI
🍞	0x09b9	U+1F35E	# BREAD
🍟	0x09ba	U+1F35F	# FRENCH FRIES
🍠	0x09bb	U+1F360	# ROASTED SWEET POTATO
🍡	0x09bc	U+1F361	# DANGO
🍢	0x09bd	U+1F362	# ODEN
🍣	0x09be	U+1F363	# SUSHI
🍤	0x09bf	U+1F364	# FRIED SHRIMP
🍦	0x09c0	U+1F366	# SOFT ICE CREAM
🍧	0x09c1	U+1F367	# SHAVED ICE
🍨	0x09c2	U+1F368	# ICE CREAM
🍩	0x09c3	U+1F369	# DOUGHNUT
🍪	0x09c4	U+1F36A	# COOKIE
🍫	0x09c5	U+1F36B	# CHOCOLATE BAR
🍬	0x09c6	U+1F36C	# CANDY
🍭	0x09c7	U+1F36D	# LOLLIPOP
🍮	0x09c8	U+1F36E	# CUSTARD
🍯	0x09c9	U+1F36F	# HONEY POT
🍰	0x09ca	U+1F370	# SHORTCAKE
🍱	0x09cb	U+1F371	# BENTO BOX
🍲	0x09cc	U+1F372	# POT OF FOOD
🍳	0x09cd	U+1F373	# COOKING
🍴	0x09ce	U+1F374	# FORK AND KNIFE
🍶	0x09cf	U+1F376	# SAKE BOTTLE AND CUP
🍷	0x09d0	U+1F377	# WINE GLASS
🍸	0x09d1	U+1F378	# COCKTAIL GLASS
🍹	0x09d2	U+1F379	# TROPICAL DRINK
🍺	0x09d3	U+1F37A	# BEER MUG
🍻	0x09d4	U+1F37B	# CLINKING BEER MUGS
🍼	0x09d5	U+1F37C	# BABY BOTTLE
🍽	0x09d6	U+1F37D	# FORK AND KNIFE WITH PLATE
🍾	0x09d7	U+1F37E	# BOTTLE WITH POPPING CORK
🍿	0x09d8	U+1F37F	# POPCORN
🎀	0x09d9	U+1F380	# RIBBON
